old_url,new_url,status_code,priority,notes
/2015/07/bought-the-car/,/blog/bought-the-car/,301,high,legacy date-based post URL
/2015/07/custom-storage-built/,/blog/custom-storage-built/,301,high,legacy date-based post URL
/2015/07/dual-battery-install/,/blog/dual-battery-install/,301,high,legacy date-based post URL
/2015/07/suspension-front-bumper-maintenance-etc/,/blog/suspension-front-bumper-maintenance-etc/,301,high,legacy date-based post URL
/2015/09/rv-review-by-luke-capasso/,/blog/rv-review-by-luke-capasso/,301,high,legacy date-based post URL
/2015/10/when-do-you-guys-leave/,/blog/when-do-you-guys-leave/,301,high,legacy date-based post URL
/2015/11/cough-emala-a-k-a-guatemala/,/blog/cough-emala-a-k-a-guatemala/,301,high,legacy date-based post URL
/2015/11/food-and-the-city-mexican-style/,/blog/food-and-the-city-mexican-style/,301,high,legacy date-based post URL
/2015/11/mainland-mexico/,/blog/mainland-mexico/,301,high,legacy date-based post URL
/2015/11/the-couple-that-poops-together-stays-together/,/blog/the-couple-that-poops-together-stays-together/,301,high,legacy date-based post URL
/2015/11/water-activities/,/blog/water-activities/,301,high,legacy date-based post URL
/2015/12/566/,/blog/566/,301,high,legacy date-based post URL
/2015/12/how-i-met-your-monkey-nicaragua-costa-rica/,/blog/how-i-met-your-monkey-nicaragua-costa-rica/,301,high,legacy date-based post URL
/2016/01/bienvenidos-a-south-america-colombia/,/blog/bienvenidos-a-south-america-colombia/,301,high,legacy date-based post URL
/2016/01/cuban-experience-crossing-the-darien-gap/,/blog/cuban-experience-crossing-the-darien-gap/,301,high,legacy date-based post URL
/2016/01/gate-to-south-america-panama/,/blog/gate-to-south-america-panama/,301,high,legacy date-based post URL
/2016/01/lima-peru/,/blog/lima-peru/,301,high,legacy date-based post URL
/2016/01/new-year-new-hemisphere-ecuador/,/blog/new-year-new-hemisphere-ecuador/,301,high,legacy date-based post URL
/2016/01/peru-northern-sierra/,/blog/peru-northern-sierra/,301,high,legacy date-based post URL
/2016/02/cuzco-peru/,/blog/cuzco-peru/,301,high,legacy date-based post URL
/2016/02/eduardo-avaroa-offroading-bolivia/,/blog/eduardo-avaroa-offroading-bolivia/,301,high,legacy date-based post URL
/2016/02/machu-picchu-peru/,/blog/machu-picchu-peru/,301,high,legacy date-based post URL
/2016/02/nazca-lines-peru/,/blog/nazca-lines-peru/,301,high,legacy date-based post URL
/2016/02/salar-de-uyuni-bolivia/,/blog/salar-de-uyuni-bolivia/,301,high,legacy date-based post URL
/2016/03/carretera-australchile/,/blog/carretera-australchile/,301,high,legacy date-based post URL
/2016/03/chilefornia/,/blog/chilefornia/,301,high,legacy date-based post URL
/2016/03/penguins/,/blog/penguins/,301,high,legacy date-based post URL
/2016/03/perito-moreno-glacier-argentina/,/blog/perito-moreno-glacier-argentina/,301,high,legacy date-based post URL
/2016/03/torres-del-paine-chile/,/blog/torres-del-paine-chile/,301,high,legacy date-based post URL
/2016/03/ushuaia-end-of-the-world/,/blog/ushuaia-end-of-the-world/,301,high,legacy date-based post URL
/2016/04/brazil-last-stop-in-south-america/,/blog/brazil-last-stop-in-south-america/,301,high,legacy date-based post URL
/2016/04/buenos-aires-argentina/,/blog/buenos-aires-argentina/,301,high,legacy date-based post URL
/2016/04/expense-report-central-and-south-america/,/blog/expense-report-central-and-south-america/,301,high,legacy date-based post URL
/2016/04/iguazu-falls-argentina/,/blog/iguazu-falls-argentina/,301,high,legacy date-based post URL
/2016/04/relaxing-in-uruguay/,/blog/relaxing-in-uruguay/,301,high,legacy date-based post URL
/2016/05/chiang-mai-how-to-elephant-in-thailand/,/blog/chiang-mai-how-to-elephant-in-thailand/,301,high,legacy date-based post URL
/2016/05/koh-samui-how-to-island-hop-in-thailand/,/blog/koh-samui-how-to-island-hop-in-thailand/,301,high,legacy date-based post URL
/2016/05/korea-full-of-love/,/blog/korea-full-of-love/,301,high,legacy date-based post URL
/2016/05/singapore-reverse-culture-shock/,/blog/singapore-reverse-culture-shock/,301,high,legacy date-based post URL
/2016/05/thailand-bangkok-insiders-guide/,/blog/thailand-bangkok-insiders-guide/,301,high,legacy date-based post URL
/2016/05/thailand-outsiders-guide-to-songkran/,/blog/thailand-outsiders-guide-to-songkran/,301,high,legacy date-based post URL
/2016/06/korea-camping-done-right/,/blog/korea-camping-done-right/,301,high,legacy date-based post URL
/2016/06/korea-car-shipping-guide/,/blog/korea-car-shipping-guide/,301,high,legacy date-based post URL
/2016/06/korea-overlanding-in-your-own-backyard/,/blog/korea-overlanding-in-your-own-backyard/,301,high,legacy date-based post URL
/2016/06/russia-overlanding-overraining/,/blog/russia-overlanding-overraining/,301,high,legacy date-based post URL
/2016/06/the-warm-siberian-welcome-russia/,/blog/the-warm-siberian-welcome-russia/,301,high,legacy date-based post URL
/2016/07/mongolia-bayankhongor-real-mongolia-experience/,/blog/mongolia-bayankhongor-real-mongolia-experience/,301,high,legacy date-based post URL
/2016/07/mongolia-gobi-yourself/,/blog/mongolia-gobi-yourself/,301,high,legacy date-based post URL
/2016/07/mongolia-never-bores-you/,/blog/mongolia-never-bores-you/,301,high,legacy date-based post URL
/2016/07/mongolia-orkhon-valley/,/blog/mongolia-orkhon-valley/,301,high,legacy date-based post URL
/2016/07/mongolia-overlanding-overview/,/blog/mongolia-overlanding-overview/,301,high,legacy date-based post URL
/2016/07/mongolia-ulaanbaatar/,/blog/mongolia-ulaanbaatar/,301,high,legacy date-based post URL
/2016/07/russia-good-bye-for-now/,/blog/russia-good-bye-for-now/,301,high,legacy date-based post URL
/2016/07/russia-the-baikal-olympics-2016-episode-1/,/blog/russia-the-baikal-olympics-2016-episode-1/,301,high,legacy date-based post URL
/2016/07/russia-the-baikal-olympics-2016-episode-2/,/blog/russia-the-baikal-olympics-2016-episode-2/,301,high,legacy date-based post URL
/2016/07/russia-the-baikal-olympics-2016-video/,/blog/russia-the-baikal-olympics-2016-video/,301,high,legacy date-based post URL
/2016/08/kazakhstan-welcome-to-borat-country/,/blog/kazakhstan-welcome-to-borat-country/,301,high,legacy date-based post URL
/2016/08/kazakhstan-window-to-the-galaxy/,/blog/kazakhstan-window-to-the-galaxy/,301,high,legacy date-based post URL
/2016/08/kyrgyzstan-altyn-arashan/,/blog/kyrgyzstan-altyn-arashan/,301,high,legacy date-based post URL
/2016/08/kyrgyzstan-issykul-lake/,/blog/kyrgyzstan-issykul-lake/,301,high,legacy date-based post URL
/2016/08/russia-back-to-the-motherland/,/blog/russia-back-to-the-motherland/,301,high,legacy date-based post URL
/2016/09/kazakhstan-astana-party-time/,/blog/kazakhstan-astana-party-time/,301,high,legacy date-based post URL
/2016/09/kyrgyzstan-pamir-the-roof-of-the-world/,/blog/kyrgyzstan-pamir-the-roof-of-the-world/,301,high,legacy date-based post URL
/2016/09/russia-miass/,/blog/russia-miass/,301,high,legacy date-based post URL
/2016/10/russia-moscow-family-and-friends/,/blog/russia-moscow-family-and-friends/,301,high,legacy date-based post URL
/2016/10/russia-nizhniy-novgorod-vladimir-and-kazan-trip-with-grandma/,/blog/russia-nizhniy-novgorod-vladimir-and-kazan-trip-with-grandma/,301,high,legacy date-based post URL
/2016/11/korea-a-turn-for-the-unexpected/,/blog/korea-a-turn-for-the-unexpected/,301,high,legacy date-based post URL
/2016/11/russia-moscow-winter-is-coming/,/blog/russia-moscow-winter-is-coming/,301,high,legacy date-based post URL
/2016/12/china-the-great-wall/,/blog/china-the-great-wall/,301,high,legacy date-based post URL
/2017/01/india-stuck-in-mumbai-with-no-money/,/blog/india-stuck-in-mumbai-with-no-money/,301,high,legacy date-based post URL
/2017/01/india-udaipur-when-the-river-lights-up/,/blog/india-udaipur-when-the-river-lights-up/,301,high,legacy date-based post URL
/2017/02/india-jaisalmer-the-golden-city-of-rajasthan-and-camels/,/blog/india-jaisalmer-the-golden-city-of-rajasthan-and-camels/,301,high,legacy date-based post URL
/2024/11/russia-moscow/,/blog/russia-moscow-family-and-friends/,301,high,legacy empty placeholder consolidated to first Moscow story
/blog/russia-moscow/,/blog/russia-moscow-family-and-friends/,301,medium,remove legacy migrated placeholder slug
/2024/11/russia-nizhniy-novgorod-and-vladimir/,/blog/russia-nizhniy-novgorod-and-vladimir/,301,high,legacy date-based post URL
/about-us/,/about/,301,medium,legacy about page slug normalization
/blank/,/about/,301,low,legacy placeholder page consolidated to about
/blog/image-gallery/,/image-gallery/,301,medium,fix incorrect page redirect introduced during migration
/media_category/lc-update-3/,/blog/lc-update-3/,301,low,legacy media taxonomy page mapped to likely content slug
/blog/photos-with-friends/,/photos-with-friends/,301,medium,fix incorrect page redirect introduced during migration
/blog/preparation/,/preparation/,301,medium,fix incorrect page redirect introduced during migration
/sample-page/,/about/,301,low,default WordPress sample page consolidated to about
/blog/south-america-expense-report-in-korean/,/south-america-expense-report-in-korean/,301,medium,fix incorrect page redirect introduced during migration
/blog/sponsors-and-credits/,/sponsors-and-credits/,301,medium,fix incorrect page redirect introduced during migration
/blog/travel-tips/,/travel-tips/,301,medium,fix incorrect page redirect introduced during migration
/blog/video/,/video/,301,medium,fix incorrect page redirect introduced during migration
